block,first_page,last_page,offset,ff_pct,zero_pct,unique,entropy,dominant,dominant_pct,mixed_ff00_pct,abnormal_pages,erased_pages,zero_pages,reasons
286,18304,18367,37486592,0.38909912109375,0.434112548828125,256,7.9986511474440825,78,0.441741943359375,0.823211669921875,64,0,0,MANY_ABNORMAL_PAGES
287,18368,18431,37617664,0.39520263671875,0.428009033203125,256,7.998620318932229,192,0.437164306640625,0.823211669921875,64,0,0,MANY_ABNORMAL_PAGES
288,18432,18495,37748736,0.388336181640625,0.40283203125,256,7.998686987795967,79,0.439453125,0.791168212890625,64,0,0,MANY_ABNORMAL_PAGES
289,18496,18559,37879808,0.395965576171875,0.443267822265625,256,7.998568055608889,0,0.443267822265625,0.8392333984375,64,0,0,MANY_ABNORMAL_PAGES
290,18560,18623,38010880,0.395965576171875,0.420379638671875,256,7.998439486071379,112,0.434112548828125,0.81634521484375,64,0,0,MANY_ABNORMAL_PAGES
291,18624,18687,38141952,0.392913818359375,0.438690185546875,256,7.99830478029668,74,0.470733642578125,0.83160400390625,64,0,0,MANY_ABNORMAL_PAGES
292,18688,18751,38273024,0.39215087890625,0.417327880859375,256,7.998400758983486,227,0.435638427734375,0.809478759765625,64,0,0,MANY_ABNORMAL_PAGES
293,18752,18815,38404096,0.38299560546875,0.395965576171875,256,7.998476164738315,2,0.443267822265625,0.778961181640625,64,0,0,MANY_ABNORMAL_PAGES
294,18816,18879,38535168,0.412750244140625,0.42724609375,256,7.9985102995706825,90,0.444793701171875,0.839996337890625,64,0,0,MANY_ABNORMAL_PAGES
295,18880,18943,38666240,0.3753662109375,0.415802001953125,256,7.998646593326772,64,0.437164306640625,0.791168212890625,64,0,0,MANY_ABNORMAL_PAGES
296,18944,19007,38797312,0.4119873046875,0.3936767578125,256,7.998569886242121,112,0.434112548828125,0.8056640625,64,0,0,MANY_ABNORMAL_PAGES
297,19008,19071,38928384,0.408172607421875,0.43182373046875,256,7.998653009917198,45,0.4364013671875,0.839996337890625,64,0,0,MANY_ABNORMAL_PAGES
298,19072,19135,39059456,0.3662109375,0.421905517578125,256,7.998550226646583,74,0.4486083984375,0.788116455078125,64,0,0,MANY_ABNORMAL_PAGES
299,19136,19199,39190528,0.372314453125,0.4180908203125,256,7.998347329917299,198,0.446319580078125,0.7904052734375,64,0,0,MANY_ABNORMAL_PAGES
300,19200,19263,39321600,0.39825439453125,0.423431396484375,256,7.998741606160861,53,0.4302978515625,0.821685791015625,64,0,0,MANY_ABNORMAL_PAGES
301,19264,19327,39452672,0.377655029296875,0.418853759765625,256,7.998435323311511,151,0.446319580078125,0.7965087890625,64,0,0,MANY_ABNORMAL_PAGES
302,19328,19391,39583744,0.4119873046875,0.4425048828125,256,7.998349587772622,0,0.4425048828125,0.8544921875,64,0,0,MANY_ABNORMAL_PAGES
303,19392,19455,39714816,0.388336181640625,0.432586669921875,256,7.998699328547884,141,0.437164306640625,0.8209228515625,64,0,0,MANY_ABNORMAL_PAGES
304,19456,19519,39845888,0.392913818359375,0.4302978515625,256,7.998501323053451,134,0.4364013671875,0.823211669921875,64,0,0,MANY_ABNORMAL_PAGES
