block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
113,7232,7295,14811136,534,0.40740966796875,568,0.433349609375,256,7.998547439923287,18,602,0.45928955078125,0.84075927734375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
114,7296,7359,14942208,548,0.4180908203125,541,0.412750244140625,256,7.998643681328142,94,575,0.438690185546875,0.830841064453125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
115,7360,7423,15073280,531,0.405120849609375,586,0.44708251953125,256,7.998502690317044,0,586,0.44708251953125,0.852203369140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
116,7424,7487,15204352,541,0.412750244140625,536,0.408935546875,256,7.998580312416703,190,584,0.445556640625,0.821685791015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
117,7488,7551,15335424,500,0.3814697265625,547,0.417327880859375,256,7.998589124047789,212,573,0.437164306640625,0.798797607421875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
118,7552,7615,15466496,494,0.37689208984375,550,0.41961669921875,256,7.998660380660938,112,563,0.429534912109375,0.7965087890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
119,7616,7679,15597568,520,0.396728515625,542,0.41351318359375,256,7.998439614433466,74,573,0.437164306640625,0.81024169921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
120,7680,7743,15728640,544,0.4150390625,541,0.412750244140625,256,7.998446059122609,230,588,0.4486083984375,0.827789306640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
121,7744,7807,15859712,513,0.391387939453125,583,0.444793701171875,256,7.998706712866419,0,583,0.444793701171875,0.836181640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
122,7808,7871,15990784,552,0.421142578125,550,0.41961669921875,256,7.998889934040479,90,565,0.431060791015625,0.84075927734375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
123,7872,7935,16121856,429,0.327301025390625,506,0.38604736328125,256,7.9985544688604175,210,585,0.446319580078125,0.713348388671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
124,7936,7999,16252928,493,0.376129150390625,585,0.446319580078125,256,7.998707842310723,0,585,0.446319580078125,0.82244873046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
125,8000,8063,16384000,516,0.3936767578125,561,0.428009033203125,256,7.998514880963429,45,570,0.43487548828125,0.821685791015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
126,8064,8127,16515072,509,0.388336181640625,578,0.44097900390625,256,7.998652194488419,0,578,0.44097900390625,0.829315185546875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
127,8128,8191,16646144,484,0.3692626953125,543,0.414276123046875,256,7.998684434565053,60,578,0.44097900390625,0.783538818359375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
128,8192,8255,16777216,525,0.400543212890625,541,0.412750244140625,256,7.998575076927033,32,574,0.43792724609375,0.81329345703125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
129,8256,8319,16908288,519,0.395965576171875,536,0.408935546875,256,7.9989047246753815,127,578,0.44097900390625,0.804901123046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
130,8320,8383,17039360,520,0.396728515625,501,0.382232666015625,256,7.998716121646787,90,579,0.441741943359375,0.778961181640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
131,8384,8447,17170432,473,0.360870361328125,583,0.444793701171875,256,7.99852243671986,0,583,0.444793701171875,0.8056640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
132,8448,8511,17301504,505,0.385284423828125,573,0.437164306640625,256,7.9986307164467405,142,574,0.43792724609375,0.82244873046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
133,8512,8575,17432576,524,0.3997802734375,570,0.43487548828125,256,7.998700114658838,117,578,0.44097900390625,0.83465576171875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
134,8576,8639,17563648,526,0.40130615234375,527,0.402069091796875,256,7.998716323184762,44,572,0.4364013671875,0.803375244140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
